Name,Age,G,PA,H,HR,RBI,BB,SO,SB,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,WAR,BsR,Def,Off,BB%,K%,Swing%,Contact%,Zone%,O-Swing%,HardHit%,Barrel%,EV,LA,is_all_star
Aaron Judge,30,157,696,177,62,131,111,175,16,0.311,0.425,0.686,1.111,0.375,0.34,0.458,206,11.1,1.1,-0.6,84.2,0.159,0.251,0.425,0.722,0.385,0.268,0.609,0.262,95.8,14.9,1
Nolan Arenado,31,148,620,163,30,103,52,72,5,0.293,0.358,0.533,0.891,0.241,0.29,0.381,149,7.2,0.1,11.8,35.5,0.084,0.11599999999999999,0.484,0.823,0.386,0.361,0.389,0.08199999999999999,88.7,21.7,0
Manny Machado,29,150,644,172,32,102,63,133,9,0.298,0.366,0.531,0.898,0.234,0.337,0.382,152,7.1,-0.4,7.2,38.5,0.098,0.207,0.508,0.768,0.38799999999999996,0.342,0.49,0.098,91.5,16.0,1
Jose Altuve,32,141,604,158,28,57,66,87,18,0.3,0.387,0.533,0.921,0.233,0.315,0.397,164,6.9,0.4,2.0,44.1,0.109,0.14400000000000002,0.43799999999999994,0.846,0.369,0.314,0.295,0.077,85.9,16.1,1
Paul Goldschmidt,34,151,651,178,35,115,79,141,7,0.317,0.404,0.578,0.981,0.26,0.368,0.419,175,6.8,0.9,-15.3,58.0,0.121,0.217,0.41700000000000004,0.763,0.41200000000000003,0.276,0.469,0.115,90.7,15.7,1
Freddie Freeman,32,159,708,199,21,100,84,102,13,0.325,0.407,0.511,0.918,0.186,0.359,0.393,157,6.8,1.7,-8.5,48.8,0.11900000000000001,0.14400000000000002,0.493,0.831,0.401,0.313,0.48,0.10099999999999999,91.3,13.6,1
J.T. Realmuto,31,139,562,139,22,84,41,119,21,0.276,0.342,0.478,0.82,0.202,0.318,0.354,129,6.7,3.5,21.8,22.2,0.073,0.212,0.49,0.767,0.41,0.35,0.467,0.113,90.3,13.1,0
Dansby Swanson,28,162,696,177,25,96,49,182,18,0.277,0.329,0.447,0.776,0.17,0.348,0.337,117,6.6,3.7,22.0,17.3,0.07,0.261,0.495,0.718,0.419,0.314,0.461,0.10800000000000001,90.2,15.7,0
Yordan Alvarez,25,135,561,144,37,97,78,106,1,0.306,0.406,0.613,1.019,0.306,0.32,0.427,185,6.4,-2.0,-9.2,51.9,0.139,0.18899999999999997,0.426,0.7879999999999999,0.385,0.275,0.598,0.21,95.2,12.3,0
Trea Turner,29,160,708,194,21,100,45,131,27,0.298,0.343,0.466,0.809,0.169,0.342,0.35,128,6.4,6.6,6.8,29.6,0.064,0.185,0.511,0.7490000000000001,0.38799999999999996,0.364,0.414,0.076,88.9,10.2,1
Francisco Lindor,28,161,706,170,26,107,59,133,16,0.27,0.339,0.449,0.788,0.179,0.301,0.342,124,6.4,1.2,14.9,21.3,0.084,0.188,0.47700000000000004,0.79,0.396,0.33799999999999997,0.41100000000000003,0.083,89.3,13.8,0
Mookie Betts,29,142,639,154,35,82,55,104,12,0.269,0.34,0.533,0.873,0.264,0.272,0.373,144,6.1,2.1,1.3,35.0,0.086,0.163,0.442,0.8490000000000001,0.41700000000000004,0.26,0.447,0.09699999999999999,90.5,18.6,1
Andres Gimenez,23,146,557,146,17,69,34,112,20,0.297,0.371,0.466,0.837,0.169,0.353,0.364,141,6.1,3.9,11.1,29.6,0.061,0.201,0.525,0.753,0.39899999999999997,0.408,0.376,0.062,87.8,11.7,0
Jose Ramirez,29,157,685,168,29,126,69,82,20,0.28,0.355,0.514,0.869,0.235,0.279,0.363,140,6.0,3.6,0.8,34.4,0.10099999999999999,0.12,0.461,0.862,0.38799999999999996,0.32299999999999995,0.366,0.066,87.7,20.7,0
Xander Bogaerts,29,150,631,171,15,73,57,118,8,0.307,0.377,0.456,0.833,0.149,0.362,0.363,133,6.0,3.2,10.2,26.9,0.09,0.187,0.457,0.769,0.405,0.319,0.395,0.065,88.1,10.2,0
Austin Riley,25,159,693,168,38,93,57,168,2,0.273,0.349,0.528,0.878,0.255,0.315,0.377,144,5.9,-0.8,-2.2,34.3,0.08199999999999999,0.242,0.516,0.7440000000000001,0.39899999999999997,0.345,0.508,0.157,92.5,12.9,0
Julio Rodriguez,21,132,560,145,28,75,40,145,25,0.284,0.345,0.509,0.853,0.225,0.345,0.366,148,5.8,3.6,3.9,33.5,0.071,0.259,0.502,0.7120000000000001,0.382,0.371,0.507,0.131,92.0,10.1,0
Jeff McNeil,30,148,589,174,9,62,40,61,4,0.326,0.382,0.454,0.836,0.128,0.353,0.365,140,5.6,-0.2,5.2,27.5,0.068,0.10400000000000001,0.5329999999999999,0.86,0.433,0.33799999999999997,0.302,0.027000000000000003,86.9,12.8,0
Alex Bregman,28,155,656,142,23,93,87,77,1,0.259,0.366,0.454,0.82,0.195,0.26,0.358,137,5.4,-3.4,6.9,23.7,0.133,0.11699999999999999,0.40299999999999997,0.862,0.387,0.218,0.376,0.073,88.9,19.5,0
Brandon Nimmo,29,151,673,159,16,64,71,116,3,0.274,0.367,0.433,0.8,0.159,0.317,0.353,132,5.4,2.9,0.5,27.9,0.105,0.172,0.43700000000000006,0.826,0.44,0.261,0.39799999999999996,0.07,89.4,6.1,0
Tommy Edman,27,153,630,153,13,57,46,111,32,0.265,0.324,0.4,0.725,0.135,0.308,0.318,106,5.3,7.2,17.7,11.5,0.073,0.17600000000000002,0.467,0.8109999999999999,0.424,0.342,0.376,0.062,88.6,8.7,0
Sean Murphy,27,148,612,134,18,66,56,124,1,0.25,0.332,0.426,0.759,0.177,0.29,0.331,121,5.2,-0.8,17.3,13.3,0.092,0.203,0.493,0.778,0.402,0.34,0.41100000000000003,0.105,88.7,11.5,0
Rafael Devers,25,141,614,164,27,88,50,114,3,0.295,0.358,0.521,0.879,0.225,0.329,0.373,140,5.0,-0.7,1.3,27.0,0.081,0.18600000000000003,0.545,0.74,0.384,0.40299999999999997,0.509,0.115,93.1,11.3,1
Kyle Tucker,25,150,609,140,30,107,59,95,25,0.257,0.33,0.478,0.808,0.221,0.261,0.348,130,4.9,3.2,4.1,23.5,0.09699999999999999,0.156,0.525,0.813,0.415,0.302,0.419,0.10099999999999999,90.0,19.0,0
Bo Bichette,24,159,697,189,24,93,41,155,13,0.29,0.333,0.469,0.802,0.179,0.347,0.347,129,4.8,0.0,0.9,23.0,0.059000000000000004,0.222,0.56,0.797,0.415,0.386,0.503,0.096,91.9,8.5,0
Steven Kwan,24,147,638,168,6,52,62,60,19,0.298,0.373,0.4,0.772,0.101,0.323,0.341,125,4.7,6.0,0.8,23.9,0.09699999999999999,0.094,0.377,0.919,0.45,0.233,0.20800000000000002,0.013999999999999999,85.1,11.8,0
Carlos Correa,27,136,590,152,22,64,61,121,0,0.291,0.366,0.467,0.834,0.176,0.339,0.362,139,4.6,-3.2,2.1,22.8,0.10300000000000001,0.205,0.444,0.797,0.40299999999999997,0.308,0.447,0.114,89.9,11.6,0
Corey Seager,28,151,663,145,33,83,58,103,3,0.245,0.317,0.455,0.772,0.211,0.242,0.331,117,4.4,0.2,8.4,12.6,0.087,0.155,0.545,0.7490000000000001,0.415,0.35100000000000003,0.455,0.105,91.1,13.6,0
Willy Adames,26,139,617,134,31,98,49,166,8,0.238,0.298,0.458,0.756,0.22,0.278,0.325,109,4.4,1.1,13.6,7.5,0.079,0.26899999999999996,0.496,0.7390000000000001,0.409,0.337,0.434,0.13,88.9,18.9,0
